subAU,year,value,ens,scen,rcp
rus1_sz4,2043,1.7678373406801395,ens1,Pol,2p6
rus1_sz5,2043,0.8067156047767816,ens1,Pol,2p6
rus1_sz2,2044,1.3084985919370673,ens1,Pol,2p6
rus1_sz3,2044,1.7649809471412023,ens1,Pol,2p6
rus1_sz4,2044,1.7649809471412023,ens1,Pol,2p6
rus1_sz5,2044,0.8054121493127412,ens1,Pol,2p6
rus1_sz2,2045,1.3063809560896258,ens1,Pol,2p6
rus1_sz3,2045,1.7621245536022652,ens1,Pol,2p6
rus1_sz4,2045,1.7621245536022652,ens1,Pol,2p6
rus1_sz5,2045,0.8041086938487008,ens1,Pol,2p6
rus1_sz2,2046,1.3038360293707196,ens1,Pol,2p6
rus1_sz3,2046,1.7586918046498259,ens1,Pol,2p6
rus1_sz4,2046,1.7586918046498259,ens1,Pol,2p6
rus1_sz5,2046,0.8025422306433538,ens1,Pol,2p6
rus1_sz2,2047,1.3012911026518132,ens1,Pol,2p6
rus1_sz3,2047,1.7552590556973868,ens1,Pol,2p6
rus1_sz4,2047,1.7552590556973868,ens1,Pol,2p6
rus1_sz5,2047,0.8009757674380069,ens1,Pol,2p6
rus1_sz2,2048,1.2987461759329069,ens1,Pol,2p6
rus1_sz3,2048,1.7518263067449473,ens1,Pol,2p6
rus1_sz4,2048,1.7518263067449473,ens1,Pol,2p6
rus1_sz5,2048,0.7994093042326599,ens1,Pol,2p6
rus1_sz2,2049,1.296201249214001,ens1,Pol,2p6
rus1_sz3,2049,1.7483935577925085,ens1,Pol,2p6
rus1_sz4,2049,1.7483935577925085,ens1,Pol,2p6
rus1_sz5,2049,0.7978428410273131,ens1,Pol,2p6
rus1_sz2,2050,1.2936563224950945,ens1,Pol,2p6
rus1_sz3,2050,1.7449608088400692,ens1,Pol,2p6
rus1_sz4,2050,1.7449608088400692,ens1,Pol,2p6
rus1_sz5,2050,0.796276377821966,ens1,Pol,2p6
rus1_sz2,2051,1.2905977611534947,ens1,Pol,2p6
rus1_sz3,2051,1.7408352388724357,ens1,Pol,2p6
rus1_sz4,2051,1.7408352388724357,ens1,Pol,2p6
rus1_sz5,2051,0.7943937602332868,ens1,Pol,2p6
rus1_sz2,2052,1.2875391998118948,ens1,Pol,2p6
rus1_sz3,2052,1.736709668904802,ens1,Pol,2p6
rus1_sz4,2052,1.736709668904802,ens1,Pol,2p6
rus1_sz5,2052,0.7925111426446075,ens1,Pol,2p6
rus1_sz2,2053,1.284480638470295,ens1,Pol,2p6
rus1_sz3,2053,1.7325840989371686,ens1,Pol,2p6
rus1_sz4,2053,1.7325840989371686,ens1,Pol,2p6
rus1_sz5,2053,0.7906285250559282,ens1,Pol,2p6
rus1_sz2,2054,1.281422077128695,ens1,Pol,2p6
rus1_sz3,2054,1.728458528969535,ens1,Pol,2p6
rus1_sz4,2054,1.728458528969535,ens1,Pol,2p6
rus1_sz5,2054,0.7887459074672488,ens1,Pol,2p6
rus1_sz2,2055,1.2783635157870954,ens1,Pol,2p6
rus1_sz3,2055,1.7243329590019014,ens1,Pol,2p6
rus1_sz4,2055,1.7243329590019014,ens1,Pol,2p6
rus1_sz5,2055,0.7868632898785697,ens1,Pol,2p6
rus1_sz2,2056,1.250292940868424,ens1,Pol,2p6
rus1_sz3,2056,1.6864696932620349,ens1,Pol,2p6
rus1_sz4,2056,1.6864696932620349,ens1,Pol,2p6
rus1_sz5,2056,0.7695851802825765,ens1,Pol,2p6
rus1_sz2,2057,1.2222223659497529,ens1,Pol,2p6
rus1_sz3,2057,1.6486064275221681,ens1,Pol,2p6
rus1_sz4,2057,1.6486064275221681,ens1,Pol,2p6
rus1_sz5,2057,0.7523070706865833,ens1,Pol,2p6
rus1_sz2,2058,1.1941517910310815,ens1,Pol,2p6
rus1_sz3,2058,1.6107431617823016,ens1,Pol,2p6
rus1_sz4,2058,1.6107431617823016,ens1,Pol,2p6
rus1_sz5,2058,0.7350289610905902,ens1,Pol,2p6
rus1_sz2,2059,1.1660812161124101,ens1,Pol,2p6
rus1_sz3,2059,1.5728798960424348,ens1,Pol,2p6
rus1_sz4,2059,1.5728798960424348,ens1,Pol,2p6
rus1_sz5,2059,0.717750851494597,ens1,Pol,2p6
rus1_sz2,2060,1.138010641193739,ens1,Pol,2p6
rus1_sz3,2060,1.5350166303025683,ens1,Pol,2p6
rus1_sz4,2060,1.5350166303025683,ens1,Pol,2p6
rus1_sz5,2060,0.7004727418986039,ens1,Pol,2p6
