year,ens,rcp,ship_type,num_months
2019,ens8,2p6,1A,4
2019,ens8,2p6,1AS,4
2019,ens8,8p5,1A,4
2019,ens8,8p5,1AS,5
2019,ens9,2p6,1A,3
2019,ens9,2p6,1AS,4
2019,ens9,8p5,1A,4
2019,ens9,8p5,1AS,6
2020,ens1,2p6,1A,3
2020,ens1,2p6,1AS,4
2020,ens1,8p5,1A,3
2020,ens1,8p5,1AS,4
2020,ens10,2p6,1A,4
2020,ens10,2p6,1AS,5
2020,ens10,8p5,1A,4
2020,ens10,8p5,1AS,5
2020,ens11,2p6,1A,4
2020,ens11,2p6,1AS,7
2020,ens11,8p5,1A,4
2020,ens11,8p5,1AS,5
2020,ens12,2p6,1A,4
2020,ens12,2p6,1AS,5
2020,ens12,8p5,1A,3
2020,ens12,8p5,1AS,4
2020,ens13,2p6,1A,2
2020,ens13,2p6,1AS,2
2020,ens13,8p5,1A,3
2020,ens13,8p5,1AS,3
2020,ens2,2p6,1A,2
2020,ens2,2p6,1AS,2
2020,ens2,8p5,1A,3
2020,ens2,8p5,1AS,4
2020,ens3,2p6,1A,3
2020,ens3,2p6,1AS,4
2020,ens3,8p5,1A,3
2020,ens3,8p5,1AS,3
2020,ens4,2p6,1A,3
2020,ens4,2p6,1AS,6
2020,ens4,8p5,1A,4
2020,ens4,8p5,1AS,5
2020,ens5,2p6,1A,2
2020,ens5,2p6,1AS,3
2020,ens5,8p5,1A,2
2020,ens5,8p5,1AS,3
2020,ens6,2p6,1A,5
2020,ens6,2p6,1AS,5
2020,ens6,8p5,1A,2
2020,ens6,8p5,1AS,3
2020,ens7,2p6,1A,3
2020,ens7,2p6,1AS,4
2020,ens7,8p5,1A,3
2020,ens7,8p5,1AS,4
2020,ens8,2p6,1A,4
2020,ens8,2p6,1AS,4
2020,ens8,8p5,1A,4
2020,ens8,8p5,1AS,4
2020,ens9,2p6,1A,4
2020,ens9,2p6,1AS,5
2020,ens9,8p5,1A,3
2020,ens9,8p5,1AS,4
2021,ens1,2p6,1A,4
2021,ens1,2p6,1AS,4
2021,ens1,8p5,1A,2
2021,ens1,8p5,1AS,3
2021,ens10,2p6,1A,4
2021,ens10,2p6,1AS,5
2021,ens10,8p5,1A,4
2021,ens10,8p5,1AS,4
2021,ens11,2p6,1A,5
2021,ens11,2p6,1AS,6
2021,ens11,8p5,1A,4
2021,ens11,8p5,1AS,4
2021,ens12,2p6,1A,4
2021,ens12,2p6,1AS,5
2021,ens12,8p5,1A,4
2021,ens12,8p5,1AS,4
2021,ens13,2p6,1A,2
2021,ens13,2p6,1AS,3
2021,ens13,8p5,1A,2
2021,ens13,8p5,1AS,2
2021,ens2,2p6,1A,2
2021,ens2,2p6,1AS,2
2021,ens2,8p5,1A,4
2021,ens2,8p5,1AS,4
2021,ens3,2p6,1A,3
2021,ens3,2p6,1AS,5
2021,ens3,8p5,1A,4
2021,ens3,8p5,1AS,5
2021,ens4,2p6,1A,4
2021,ens4,2p6,1AS,5
2021,ens4,8p5,1A,4
2021,ens4,8p5,1AS,5
2021,ens5,2p6,1A,2
2021,ens5,2p6,1AS,3
2021,ens5,8p5,1A,4
2021,ens5,8p5,1AS,6
2021,ens6,2p6,1A,2
2021,ens6,2p6,1AS,4
2021,ens6,8p5,1A,3
2021,ens6,8p5,1AS,3
2021,ens7,2p6,1A,3
2021,ens7,2p6,1AS,3
2021,ens7,8p5,1A,3
2021,ens7,8p5,1AS,3
2021,ens8,2p6,1A,2
2021,ens8,2p6,1AS,4
2021,ens8,8p5,1A,3
2021,ens8,8p5,1AS,3
2021,ens9,2p6,1A,4
2021,ens9,2p6,1AS,5
2021,ens9,8p5,1A,3
2021,ens9,8p5,1AS,4
2022,ens1,2p6,1A,4
2022,ens1,2p6,1AS,5
2022,ens1,8p5,1A,4
2022,ens1,8p5,1AS,5
2022,ens10,2p6,1A,4
2022,ens10,2p6,1AS,5
2022,ens10,8p5,1A,4
2022,ens10,8p5,1AS,4
2022,ens11,2p6,1A,4
2022,ens11,2p6,1AS,7
2022,ens11,8p5,1A,4
2022,ens11,8p5,1AS,4
2022,ens12,2p6,1A,4
2022,ens12,2p6,1AS,5
2022,ens12,8p5,1A,4
2022,ens12,8p5,1AS,4
2022,ens13,2p6,1A,2
2022,ens13,2p6,1AS,3
2022,ens13,8p5,1A,4
2022,ens13,8p5,1AS,5
2022,ens2,2p6,1A,3
2022,ens2,2p6,1AS,3
2022,ens2,8p5,1A,3
2022,ens2,8p5,1AS,3
2022,ens3,2p6,1A,4
2022,ens3,2p6,1AS,4
2022,ens3,8p5,1A,3
2022,ens3,8p5,1AS,5
2022,ens4,2p6,1A,3
2022,ens4,2p6,1AS,7
2022,ens4,8p5,1A,2
2022,ens4,8p5,1AS,3
2022,ens5,2p6,1A,2
2022,ens5,2p6,1AS,2
2022,ens5,8p5,1A,4
2022,ens5,8p5,1AS,7
2022,ens6,2p6,1A,4
2022,ens6,2p6,1AS,4
2022,ens6,8p5,1A,2
2022,ens6,8p5,1AS,2
2022,ens7,2p6,1A,3
2022,ens7,2p6,1AS,3
2022,ens7,8p5,1A,3
2022,ens7,8p5,1AS,3
2022,ens8,2p6,1A,4
2022,ens8,2p6,1AS,5
2022,ens8,8p5,1A,4
2022,ens8,8p5,1AS,5
2022,ens9,2p6,1A,4
2022,ens9,2p6,1AS,5
2022,ens9,8p5,1A,4
2022,ens9,8p5,1AS,6
2023,ens1,2p6,1A,4
2023,ens1,2p6,1AS,5
2023,ens1,8p5,1A,5
2023,ens1,8p5,1AS,7
2023,ens10,2p6,1A,4
2023,ens10,2p6,1AS,5
2023,ens10,8p5,1A,4
2023,ens10,8p5,1AS,4
2023,ens11,2p6,1A,4
2023,ens11,2p6,1AS,6
2023,ens11,8p5,1A,4
2023,ens11,8p5,1AS,5
2023,ens12,2p6,1A,4
2023,ens12,2p6,1AS,4
2023,ens12,8p5,1A,4
2023,ens12,8p5,1AS,4
2023,ens13,2p6,1A,2
2023,ens13,2p6,1AS,2
