subAU,year,value,ens,scen,rcp
rus1_sz2,2015,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens8,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens8,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens8,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens8,Pol,2p6
rus1_sz2,2015,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2015,0.9176630852816312,ens9,Pol,2p6
rus1_sz4,2015,0.9176630852816312,ens9,Pol,2p6
rus1_sz5,2015,0.4187563605481292,ens9,Pol,2p6
rus1_sz2,2016,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2016,0.9176630852816312,ens9,Pol,2p6
rus1_sz4,2016,0.9176630852816312,ens9,Pol,2p6
rus1_sz5,2016,0.4187563605481292,ens9,Pol,2p6
rus1_sz2,2017,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2017,0.9176630852816312,ens9,Pol,2p6
rus1_sz4,2017,0.9176630852816312,ens9,Pol,2p6
rus1_sz5,2017,0.4187563605481292,ens9,Pol,2p6
rus1_sz2,2018,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2018,0.9176630852816312,ens9,Pol,2p6
rus1_sz4,2018,0.9176630852816312,ens9,Pol,2p6
rus1_sz5,2018,0.4187563605481292,ens9,Pol,2p6
rus1_sz2,2019,0.680325108839589,ens9,Pol,2p6
rus1_sz3,2019,0.9176630852816312,ens9,Pol,2p6
rus1_sz4,2019,0.9176630852816312,ens9,Pol,2p6
rus1_sz5,2019,0.4187563605481292,ens9,Pol,2p6
rus1_sz2,2020,1.3463094061770333,ens1,Pol,2p6
rus1_sz3,2020,1.8159824286411876,ens1,Pol,2p6
rus1_sz4,2020,1.8159824286411876,ens1,Pol,2p6
rus1_sz5,2020,0.8286856089495556,ens1,Pol,2p6
rus1_sz2,2021,1.3463094061770333,ens1,Pol,2p6
rus1_sz3,2021,1.8159824286411876,ens1,Pol,2p6
rus1_sz4,2021,1.8159824286411876,ens1,Pol,2p6
rus1_sz5,2021,0.8286856089495556,ens1,Pol,2p6
rus1_sz2,2022,1.3463094061770333,ens1,Pol,2p6
rus1_sz3,2022,1.8159824286411876,ens1,Pol,2p6
rus1_sz4,2022,1.8159824286411876,ens1,Pol,2p6
rus1_sz5,2022,0.8286856089495556,ens1,Pol,2p6
rus1_sz2,2023,1.3463094061770333,ens1,Pol,2p6
rus1_sz3,2023,1.8159824286411876,ens1,Pol,2p6
rus1_sz4,2023,1.8159824286411876,ens1,Pol,2p6
rus1_sz5,2023,0.8286856089495556,ens1,Pol,2p6
rus1_sz2,2024,1.3463094061770333,ens1,Pol,2p6
rus1_sz3,2024,1.8159824286411876,ens1,Pol,2p6
rus1_sz4,2024,1.8159824286411876,ens1,Pol,2p6
rus1_sz5,2024,0.8286856089495556,ens1,Pol,2p6
rus1_sz2,2020,1.3462872667536414,ens10,Pol,2p6
rus1_sz3,2020,1.8159525656663948,ens10,Pol,2p6
rus1_sz4,2020,1.8159525656663948,ens10,Pol,2p6
rus1_sz5,2020,0.8286719816054464,ens10,Pol,2p6
rus1_sz2,2021,1.3462872667536414,ens10,Pol,2p6
rus1_sz3,2021,1.8159525656663948,ens10,Pol,2p6
rus1_sz4,2021,1.8159525656663948,ens10,Pol,2p6
rus1_sz5,2021,0.8286719816054464,ens10,Pol,2p6
rus1_sz2,2022,1.3462872667536414,ens10,Pol,2p6
rus1_sz3,2022,1.8159525656663948,ens10,Pol,2p6
rus1_sz4,2022,1.8159525656663948,ens10,Pol,2p6
rus1_sz5,2022,0.8286719816054464,ens10,Pol,2p6
rus1_sz2,2023,1.3462872667536414,ens10,Pol,2p6
rus1_sz3,2023,1.8159525656663948,ens10,Pol,2p6
rus1_sz4,2023,1.8159525656663948,ens10,Pol,2p6
rus1_sz5,2023,0.8286719816054464,ens10,Pol,2p6
rus1_sz2,2024,1.3462872667536414,ens10,Pol,2p6
rus1_sz3,2024,1.8159525656663948,ens10,Pol,2p6
rus1_sz4,2024,1.8159525656663948,ens10,Pol,2p6
rus1_sz5,2024,0.8286719816054464,ens10,Pol,2p6
rus1_sz2,2020,1.3462872667536414,ens11,Pol,2p6
rus1_sz3,2020,1.8159525656663948,ens11,Pol,2p6
rus1_sz4,2020,1.8159525656663948,ens11,Pol,2p6
rus1_sz5,2020,0.8286719816054464,ens11,Pol,2p6
rus1_sz2,2021,1.3462872667536414,ens11,Pol,2p6
rus1_sz3,2021,1.8159525656663948,ens11,Pol,2p6
rus1_sz4,2021,1.8159525656663948,ens11,Pol,2p6
rus1_sz5,2021,0.8286719816054464,ens11,Pol,2p6
rus1_sz2,2022,1.3462872667536414,ens11,Pol,2p6
rus1_sz3,2022,1.8159525656663948,ens11,Pol,2p6
rus1_sz4,2022,1.8159525656663948,ens11,Pol,2p6
rus1_sz5,2022,0.8286719816054464,ens11,Pol,2p6
rus1_sz2,2023,1.3462872667536414,ens11,Pol,2p6
rus1_sz3,2023,1.8159525656663948,ens11,Pol,2p6
rus1_sz4,2023,1.8159525656663948,ens11,Pol,2p6
rus1_sz5,2023,0.8286719816054464,ens11,Pol,2p6
rus1_sz2,2024,1.3462872667536414,ens11,Pol,2p6
rus1_sz3,2024,1.8159525656663948,ens11,Pol,2p6
rus1_sz4,2024,1.8159525656663948,ens11,Pol,2p6
rus1_sz5,2024,0.8286719816054464,ens11,Pol,2p6
rus1_sz2,2020,1.3462872667536414,ens12,Pol,2p6
rus1_sz3,2020,1.8159525656663948,ens12,Pol,2p6
rus1_sz4,2020,1.8159525656663948,ens12,Pol,2p6
rus1_sz5,2020,0.8286719816054464,ens12,Pol,2p6
rus1_sz2,2021,1.3462872667536414,ens12,Pol,2p6
rus1_sz3,2021,1.8159525656663948,ens12,Pol,2p6
rus1_sz4,2021,1.8159525656663948,ens12,Pol,2p6
rus1_sz5,2021,0.8286719816054464,ens12,Pol,2p6
rus1_sz2,2022,1.3462872667536414,ens12,Pol,2p6
rus1_sz3,2022,1.8159525656663948,ens12,Pol,2p6
rus1_sz4,2022,1.8159525656663948,ens12,Pol,2p6
rus1_sz5,2022,0.8286719816054464,ens12,Pol,2p6
rus1_sz2,2023,1.3462872667536414,ens12,Pol,2p6
rus1_sz3,2023,1.8159525656663948,ens12,Pol,2p6
rus1_sz4,2023,1.8159525656663948,ens12,Pol,2p6
rus1_sz5,2023,0.8286719816054464,ens12,Pol,2p6
rus1_sz2,2024,1.3462872667536414,ens12,Pol,2p6
rus1_sz3,2024,1.8159525656663948,ens12,Pol,2p6
rus1_sz4,2024,1.8159525656663948,ens12,Pol,2p6
rus1_sz5,2024,0.8286719816054464,ens12,Pol,2p6
rus1_sz2,2020,1.346301103893261,ens13,Pol,2p6
rus1_sz3,2020,1.81597123002564,ens13,Pol,2p6
rus1_sz4,2020,1.81597123002564,ens13,Pol,2p6
rus1_sz5,2020,0.8286804986955145,ens13,Pol,2p6
rus1_sz2,2021,1.346301103893261,ens13,Pol,2p6
rus1_sz3,2021,1.81597123002564,ens13,Pol,2p6
rus1_sz4,2021,1.81597123002564,ens13,Pol,2p6
rus1_sz5,2021,0.8286804986955145,ens13,Pol,2p6
rus1_sz2,2022,1.346301103893261,ens13,Pol,2p6
rus1_sz3,2022,1.81597123002564,ens13,Pol,2p6
rus1_sz4,2022,1.81597123002564,ens13,Pol,2p6
rus1_sz5,2022,0.8286804986955145,ens13,Pol,2p6
rus1_sz2,2023,1.346301103893261,ens13,Pol,2p6
rus1_sz3,2023,1.81597123002564,ens13,Pol,2p6
rus1_sz4,2023,1.81597123002564,ens13,Pol,2p6
rus1_sz5,2023,0.8286804986955145,ens13,Pol,2p6
rus1_sz2,2024,1.346301103893261,ens13,Pol,2p6
