year,ens,scen,rcp,value
2018,ens9,Ref,2p6,5.794646086540616
2018,ens9,Ref,8p5,5.79461743872549
2019,ens1,Pol,2p6,5.769846627913166
2019,ens1,Ref,2p6,5.769903923543417
2019,ens1,Ref,8p5,5.769942120630253
2019,ens10,Pol,2p6,5.769693839565826
2019,ens10,Ref,2p6,5.7697702337394965
2019,ens10,Ref,8p5,5.7697702337394965
2019,ens11,Pol,2p6,5.769693839565826
2019,ens11,Ref,2p6,5.7697702337394965
2019,ens11,Ref,8p5,5.7697702337394965
2019,ens12,Pol,2p6,5.769693839565826
2019,ens12,Ref,2p6,5.7697702337394965
2019,ens12,Ref,8p5,5.7697702337394965
2019,ens13,Pol,2p6,5.7697893322829135
2019,ens13,Ref,2p6,5.769865726456583
2019,ens13,Ref,8p5,5.769865726456583
2019,ens2,Pol,2p6,5.769846627913166
2019,ens2,Ref,2p6,5.769903923543417
2019,ens2,Ref,8p5,5.769884825
2019,ens3,Pol,2p6,5.769923022086835
2019,ens3,Ref,2p6,5.769999416260505
2019,ens3,Ref,8p5,5.769999416260505
2019,ens4,Pol,2p6,5.769827529369747
2019,ens4,Ref,2p6,5.769884825
2019,ens4,Ref,8p5,5.769846627913166
2019,ens5,Pol,2p6,5.76980843082633
2019,ens5,Ref,2p6,5.769865726456583
2019,ens5,Ref,8p5,5.769865726456583
2019,ens6,Pol,2p6,5.769865726456583
2019,ens6,Ref,2p6,5.769923022086835
2019,ens6,Ref,8p5,5.769903923543417
2019,ens7,Pol,2p6,5.769827529369747
2019,ens7,Ref,2p6,5.769884825
2019,ens7,Ref,8p5,5.769884825
2019,ens8,Pol,2p6,5.769827529369747
2019,ens8,Ref,2p6,5.769903923543417
2019,ens8,Ref,8p5,5.769884825
2019,ens9,Pol,2p6,5.769846627913166
2019,ens9,Ref,2p6,5.769923022086835
2019,ens9,Ref,8p5,5.769884825
2020,ens1,Pol,2p6,5.745104464915967
2020,ens1,Ref,2p6,5.7451760844537825
2020,ens1,Ref,8p5,5.745223830812325
2020,ens10,Pol,2p6,5.744913479481793
2020,ens10,Ref,2p6,5.74500897219888
2020,ens10,Ref,8p5,5.74500897219888
2020,ens11,Pol,2p6,5.744913479481793
2020,ens11,Ref,2p6,5.74500897219888
2020,ens11,Ref,8p5,5.74500897219888
2020,ens12,Pol,2p6,5.744913479481793
2020,ens12,Ref,2p6,5.74500897219888
2020,ens12,Ref,8p5,5.74500897219888
2020,ens13,Pol,2p6,5.745032845378152
2020,ens13,Ref,2p6,5.745128338095238
2020,ens13,Ref,8p5,5.745128338095238
2020,ens2,Pol,2p6,5.745104464915967
2020,ens2,Ref,2p6,5.7451760844537825
2020,ens2,Ref,8p5,5.74515221127451
2020,ens3,Pol,2p6,5.745199957633053
2020,ens3,Ref,2p6,5.74529545035014
2020,ens3,Ref,8p5,5.74529545035014
2020,ens4,Pol,2p6,5.745080591736696
2020,ens4,Ref,2p6,5.74515221127451
2020,ens4,Ref,8p5,5.745104464915967
2020,ens5,Pol,2p6,5.745056718557422
2020,ens5,Ref,2p6,5.745128338095238
2020,ens5,Ref,8p5,5.745128338095238
2020,ens6,Pol,2p6,5.745128338095238
2020,ens6,Ref,2p6,5.745199957633053
2020,ens6,Ref,8p5,5.7451760844537825
2020,ens7,Pol,2p6,5.745080591736696
2020,ens7,Ref,2p6,5.74515221127451
2020,ens7,Ref,8p5,5.74515221127451
2020,ens8,Pol,2p6,5.745080591736696
2020,ens8,Ref,2p6,5.7451760844537825
2020,ens8,Ref,8p5,5.74515221127451
2020,ens9,Pol,2p6,5.745104464915967
2020,ens9,Ref,2p6,5.745199957633053
2020,ens9,Ref,8p5,5.74515221127451
2021,ens1,Pol,2p6,5.741308629411765
2021,ens1,Ref,2p6,5.741375474313726
2021,ens1,Ref,8p5,5.741451868487395
2021,ens10,Pol,2p6,5.740960080994398
2021,ens10,Ref,2p6,5.741069897619047
2021,ens10,Ref,8p5,5.741055573711485
2021,ens11,Pol,2p6,5.74097440490196
2021,ens11,Ref,2p6,5.741069897619047
2021,ens11,Ref,8p5,5.7410794468907564
2021,ens12,Pol,2p6,5.74097440490196
2021,ens12,Ref,2p6,5.741069897619047
2021,ens12,Ref,8p5,5.741069897619047
