year,scen,ens,rcp,usd_rub,ship_type,tonne_km
2016,Pol,ens11,2p6,base,1AS,9308.734918899227
2016,Pol,ens11,2p6,discounted,1A,8893.237741089108
2016,Pol,ens11,2p6,discounted,1AS,9304.947271888048
2016,Pol,ens11,2p6,high,1A,8908.668537758262
2016,Pol,ens11,2p6,high,1AS,9320.618397097196
2016,Pol,ens11,2p6,low,1A,8802.059571272634
2016,Pol,ens11,2p6,low,1AS,9218.384811183809
2016,Pol,ens12,2p6,base,1A,8881.027962316033
2016,Pol,ens12,2p6,base,1AS,9321.372663887421
2016,Pol,ens12,2p6,discounted,1A,8892.30754261765
2016,Pol,ens12,2p6,discounted,1AS,9304.11077605745
2016,Pol,ens12,2p6,high,1A,8895.370305873204
2016,Pol,ens12,2p6,high,1AS,9331.496045055572
2016,Pol,ens12,2p6,low,1A,8772.892103760882
2016,Pol,ens12,2p6,low,1AS,9244.592130260624
2016,Pol,ens13,2p6,base,1A,5921.967942224147
2016,Pol,ens13,2p6,base,1AS,6118.8984739304005
2016,Pol,ens13,2p6,discounted,1A,5921.967942224147
2016,Pol,ens13,2p6,discounted,1AS,6118.8984739304005
2016,Pol,ens13,2p6,high,1A,5921.967942224147
2016,Pol,ens13,2p6,high,1AS,6118.8984739304005
2016,Pol,ens13,2p6,low,1A,5921.967942224147
2016,Pol,ens13,2p6,low,1AS,6118.8984739304005
2016,Pol,ens2,2p6,base,1A,5921.194103919948
2016,Pol,ens2,2p6,base,1AS,6117.968279551596
2016,Pol,ens2,2p6,discounted,1A,5921.194103919948
2016,Pol,ens2,2p6,discounted,1AS,6117.968279551596
2016,Pol,ens2,2p6,high,1A,5921.194103919948
2016,Pol,ens2,2p6,high,1AS,6117.968279551596
2016,Pol,ens2,2p6,low,1A,5921.194103919948
2016,Pol,ens2,2p6,low,1AS,6117.968279551596
2016,Pol,ens3,2p6,base,1A,7383.305751862221
2016,Pol,ens3,2p6,base,1AS,9243.371059584355
2016,Pol,ens3,2p6,discounted,1A,7352.004828106908
2016,Pol,ens3,2p6,discounted,1AS,9208.55795968458
2016,Pol,ens3,2p6,high,1A,7392.181995294451
2016,Pol,ens3,2p6,high,1AS,9263.753313735311
2016,Pol,ens3,2p6,low,1A,7316.624885669751
2016,Pol,ens3,2p6,low,1AS,9088.83072855012
2016,Pol,ens4,2p6,base,1A,7451.558054480951
2016,Pol,ens4,2p6,base,1AS,9104.384264105505
2016,Pol,ens4,2p6,discounted,1A,7451.558054480951
2016,Pol,ens4,2p6,discounted,1AS,9318.296652938772
2016,Pol,ens4,2p6,high,1A,7451.558054480951
2016,Pol,ens4,2p6,high,1AS,9145.40174551593
2016,Pol,ens4,2p6,low,1A,7451.558054480951
2016,Pol,ens4,2p6,low,1AS,8795.824787355536
2016,Pol,ens5,2p6,base,1A,7384.0104347669
2016,Pol,ens5,2p6,base,1AS,7751.766256513406
2016,Pol,ens5,2p6,discounted,1A,7352.728961883953
2016,Pol,ens5,2p6,discounted,1AS,7751.766256513406
2016,Pol,ens5,2p6,high,1A,7392.8806937466215
2016,Pol,ens5,2p6,high,1AS,7751.766256513406
2016,Pol,ens5,2p6,low,1A,7317.367904721866
2016,Pol,ens5,2p6,low,1AS,7751.766256513406
2016,Pol,ens6,2p6,base,1A,8897.681795707731
2016,Pol,ens6,2p6,base,1AS,9313.045128878588
2016,Pol,ens6,2p6,discounted,1A,8894.738964468323
2016,Pol,ens6,2p6,discounted,1AS,9309.257502053597
2016,Pol,ens6,2p6,high,1A,8910.17991817179
2016,Pol,ens6,2p6,high,1AS,9324.928540353838
2016,Pol,ens6,2p6,low,1A,8803.514152657754
2016,Pol,ens6,2p6,low,1AS,9222.695360316095
2016,Pol,ens7,2p6,base,1A,7454.907924091237
